;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;GES;303C/305C/309C;Análisis estratégico;Office;Licenciado-anual;2013;;Ilimitada;;3;83;105; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;GES;203C;Gerencia de proyectos;Microsoft Office Project Profesional;Licenciado-anual;2013;;Contrato Microsoft;;2;18;70; with SSE2 instruction set.;1Ghz;64-bit ;>=Windows 7;2;3
;GES;207C;Gerencia de calidad;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;31;35; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;GES;205C;Gerencia integral;Simulador Capstone;#N/A;#N/A;;#N/A;;1;20;29; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;GES;304C/305C;Modelamiento para la toma decisiones;HiView;Licenciado-anual;3.2.0.8;;Ilimitada Facultad Administración;;0;0;0;x86 compatible CPU;1 GHz;64 bits;>=Windows XP;2;0.3
;GES;304C/305C;Modelamiento para la toma decisiones;Equity;Licenciado-anual;3.4.0.6;;Ilimitada Facultad Administración;;0;0;0;;;64 bits;;;
;GES;304C/305C;Modelamiento para la toma decisiones;OpenSolver - complemento de excel;Aplicación gratuita;Complemento;;Libre;;0;0;0;;;64 bits;;;
;GES;304C/305C;Modelamiento para la toma decisiones;Lingo Student;Mantenimiento-anual;17.0;;Ilimitada;;3;59;80;;;64 bits;;;
;GES;304C/305C;Modelamiento para la toma decisiones;Mathematica;Mantenimiento-anual;10.0.1.0;;Limitada a cantidad Concurrente;;3;59;80; Intel Pentium 4;2.4 GHz;64 bits;>=windows7;2;13
;FIN;304C/305C;Modelamiento para la toma decisiones;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;3;59;80; with SSE2 instruction set.;2 GHz;64 bits;>= windows 7;2;1
;GES;304C/305C;Modelamiento para la toma decisiones;TreePlan;Licenciado-perpetuo;Perpetua;;Limitada a cantidad Concurrente;;3;59;80;;;64 bits;;;
;HUM;108F;Materias - Programa de música;Protools;Licenciado-perpetuo;Perpetua;;Limitada a cantidad;;0;0;0;Intel Core i5 ;2,66 GHz ;64 bits;Windows 10;8;15
;MER;207C;Investigación De Mercados;SPSS;Licenciado-anual;24;;Limitada a cantidad Concurrente;;4;114;128; with SSE2 instruction set.;2 GHz;64 bits;Windows 10;8;2
;MER;208C/SCM;Investigación De Mercados;Euromonitor;#N/A;#N/A;;#N/A;;4;114;128;Pentium;200 MHz;64 bits;>=Windows 7 ;0.512;0.4
;MER;207C/302C;Estrategias de mercadeo en Internet;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;18;32; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;0.512;3
;MER;207C/302C;Estrategias de mercadeo en Internet;Respondus LockDown Browser;Licenciado-anual;2.0.2.07;;Ilimitada;;1;18;32;;;64 bits;>=Windows7;0.032;0.010
;MER;207C/302C;Estrategias de mercadeo en Internet;VLC Media Player;Aplicación gratuita;2.2.6;;Libre;;1;18;32;64-bit x86 Intel Core;1.3GHz;64 bits;Windows;4;0.7
;MER;302C;Estrategias de mercadeo en Internet;IHMC CmapTools;Aplicación gratuita;6.03;;Libre;;1;18;32;;;64 bits;;;
;MER;SCM1;Investigación cualitativa de mercados;Atlas TI;Licenciado-anual;8.1;;Ilimitada;;2;60;64;Intel/AMD;1GHz;64 bits;>=Windows 7;0.5;0.050
;MER;203C/208C;Investigación Cuantitativa De Mercados;SPSS;Licenciado-anual;24;;Limitada a cantidad Concurrente;;2;63;64; with SSE2 instruction set.;2 GHz;64 bits;Windows 10;8;2
;MER;202C;Mercadeo digital;Notepad++;Aplicación gratuita;7.5.1;;Libre;;1;23;24;intel;1Ghz;64 bits;>=Windows XP;2;1
;MER;202C;Mercadeo digital;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;23;24; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;MER;202C;Mercadeo digital;VLC Media Player;Aplicación gratuita;2.2.6;;Libre;;1;23;24;64-bit x86 Intel Core;1.3GHz;64 bits;Windows;4;0.7
;MER;207C;Mercadeo en redes sociales;Respondus LockDown Browser;Licenciado-anual;2.0.2.07;;Ilimitada;;1;29;29;;;64 bits;;;
;MER;207C;Mercadeo en redes sociales;VLC Media Player;Aplicación gratuita;2.2.6;;Libre;;1;29;29;64-bit x86 Intel Core;1.3GHz;64 bits;Windows;4;0.7
;MER;2047C;Mercadeo en redes sociales;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;29;29; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;MER;202C;Marketing sensorial;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;19;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;MER;202C;Marketing sensorial;SPSS;Licenciado-anual;24;;Limitada a cantidad Concurrente;;1;19;30; with SSE2 instruction set.;2 GHz;64 bits;Windows 10;8;2
;FIN;202C/203C/303C;Ingeniería económica;Visual Paradigm comunity edition ;Convenio;14.2;;Ilimitada Facultad de Ingeniería;;5;125;127;>= Intel pentium 4;1 GHz;64 bits;>= windows XP;4;4
;FIN;202C/203C/303C;Ingeniería económica;Office;Licenciado-anual;2013;;Contrato Microsoft;;5;125;127; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;202C/203C/208C/SCM3;Teoría de Inversión;Office;Licenciado-anual;2013;;Contrato Microsoft;;6;145;149; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;202C/203C/208C/304C/305C;Administración financiera;Office;Licenciado-anual;2013;;Contrato Microsoft;;7;200;174; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Burkenroad reports: Modelos y reportes en Finanzas;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;0;0;0; with SSE2 instruction set.;2 GHz;64 bits;>= windows 7;2;1
;FIN;302C;Burkenroad reports: Modelos y reportes en Finanzas;Office;Licenciado-anual;2013;;Contrato Microsoft;;0;0;0; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;202C;Contabilidad financiera II;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;25;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Estrategias de financiamiento;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;1;13;30; with SSE2 instruction set.;2 GHz;64 bits;>= windows 7;2;1
;FIN;303C;Estrategias de financiamiento;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;13;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;205C;Contabilidad de consolidación empresarial;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;25;24; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Reestructuración y valoración de empresas;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;1;7;30; with SSE2 instruction set.;2 GHz;64 bits;>= windows 7;2;1
;FIN;303C;Reestructuración y valoración de empresas;Forecast Pro XE;Licenciado-anual;6.0.1.3;SI;Limitada a cantidad;36;1;7;30;;;64 bits;;;
;FIN;303C;Reestructuración y valoración de empresas;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;7;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Finanzas internacionales I;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;92;84; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;202C/203C/205C;Contabilidad financiera I;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;15;35; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;208C;Mercado Internacional de capitales;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;25;29; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Fundamentos de derivados;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;6;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Fundamentos de derivados;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;1;6;30; with SSE2 instruction set.;2 GHz;64 bits;>= windows 7;2;1
;FIN;203C;Presupuestos;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;16;25; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;208C;Gerencia de riesgos financieros;Office;Licenciado-anual;2013;;Contrato Microsoft;;0;0;0; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;202C/205C;Análisis financiero y Proyectos de Inversión;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;67;84; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;304C;Planeación y control de las operaciones;Office;Licenciado-anual;2013;;Contrato Microsoft;;2;51;40; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;;Distribución de planta e instalaciones;SolidWorks;Licenciado-anual;5.0;;Limitada a cantidad Concurrente;;1;39;35;;;64 bits;;;
;IND;;Distribución de planta e instalaciones;AutoCAD;Convenio;2018;;Limitada a cantidad;;1;39;35;64-bit (x64) processor;1 GHz ;64 bits;Windows 10;8;16
;IND;207C;Calidad en Las operaciones;Minitab;Licenciado-anual;18.1.0.0;;Limitada a cantidad Concurrente;;2;48;58;Processor Intel Pentium 4;2Ghz;64 bits;>=Windows 7;2;2
;IND;207C;Calidad en Las operaciones;Office;Licenciado-anual;2013;;Contrato Microsoft;;2;48;58; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;305C;Investigación de operaciones;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;68;84; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;305C;Investigación de operaciones;WEKA;Aplicación gratuita;3.8.1;;Libre;;3;68;84;;;64 bits;;;
